CISP,AISP,ano,mcirc,ocorrencias,qtde
23,3,2022,3304557,sequestro_relampago,0
23,3,2022,3304557,trafico_drogas,4
24,3,2019,3304557,aaapai,16
24,3,2019,3304557,ameaca,425
24,3,2019,3304557,apf,116
24,3,2019,3304557,apreensao_drogas,34
24,3,2019,3304557,apreensao_drogas_sem_autor,0
24,3,2019,3304557,cmba,6
24,3,2019,3304557,cmp,33
24,3,2019,3304557,cvli,28
24,3,2019,3304557,encontro_cadaver,2
24,3,2019,3304557,encontro_ossada,1
24,3,2019,3304557,estelionato,243
24,3,2019,3304557,estupro,17
24,3,2019,3304557,extorsao,9
24,3,2019,3304557,furto_bicicleta,8
24,3,2019,3304557,furto_celular,100
24,3,2019,3304557,furto_coletivo,52
24,3,2019,3304557,furto_transeunte,82
24,3,2019,3304557,furto_veiculos,131
24,3,2019,3304557,hom_culposo,9
24,3,2019,3304557,hom_doloso,28
24,3,2019,3304557,hom_por_interv_policial,29
24,3,2019,3304557,latrocinio,0
24,3,2019,3304557,lesao_corp_culposa,203
24,3,2019,3304557,lesao_corp_dolosa,387
24,3,2019,3304557,lesao_corp_morte,0
24,3,2019,3304557,letalidade_violenta,57
24,3,2019,3304557,pessoas_desaparecidas,41
24,3,2019,3304557,pol_civis_mortos_serv,0
24,3,2019,3304557,pol_militares_mortos_serv,0
24,3,2019,3304557,posse_drogas,11
24,3,2019,3304557,recuperacao_veiculos,303
24,3,2019,3304557,roubo_apos_saque,10
24,3,2019,3304557,roubo_banco,1
24,3,2019,3304557,roubo_bicicleta,0
24,3,2019,3304557,roubo_carga,56
24,3,2019,3304557,roubo_celular,363
24,3,2019,3304557,roubo_comercio,55
24,3,2019,3304557,roubo_conducao_saque,0
24,3,2019,3304557,roubo_cx_eletronico,0
24,3,2019,3304557,roubo_em_coletivo,80
24,3,2019,3304557,roubo_residencia,12
24,3,2019,3304557,roubo_rua,1592
24,3,2019,3304557,roubo_veiculo,470
24,3,2019,3304557,sequestro,0
24,3,2019,3304557,sequestro_relampago,2
24,3,2019,3304557,trafico_drogas,23
24,3,2020,3304557,aaapai,17
24,3,2020,3304557,ameaca,260
24,3,2020,3304557,apf,117
24,3,2020,3304557,apreensao_drogas,15
24,3,2020,3304557,apreensao_drogas_sem_autor,2
24,3,2020,3304557,cmba,2
24,3,2020,3304557,cmp,33
24,3,2020,3304557,cvli,26
24,3,2020,3304557,encontro_cadaver,0
24,3,2020,3304557,encontro_ossada,0
24,3,2020,3304557,estelionato,236
24,3,2020,3304557,estupro,24
24,3,2020,3304557,extorsao,4
24,3,2020,3304557,furto_bicicleta,4
24,3,2020,3304557,furto_celular,42
24,3,2020,3304557,furto_coletivo,26
24,3,2020,3304557,furto_transeunte,77
24,3,2020,3304557,furto_veiculos,112
24,3,2020,3304557,hom_culposo,5
24,3,2020,3304557,hom_doloso,25
24,3,2020,3304557,hom_por_interv_policial,8
24,3,2020,3304557,latrocinio,0
24,3,2020,3304557,lesao_corp_culposa,135
24,3,2020,3304557,lesao_corp_dolosa,279
24,3,2020,3304557,lesao_corp_morte,1
24,3,2020,3304557,letalidade_violenta,34
24,3,2020,3304557,pessoas_desaparecidas,24
24,3,2020,3304557,pol_civis_mortos_serv,0
24,3,2020,3304557,pol_militares_mortos_serv,0
24,3,2020,3304557,posse_drogas,3
24,3,2020,3304557,recuperacao_veiculos,154
24,3,2020,3304557,roubo_apos_saque,9
24,3,2020,3304557,roubo_banco,0
24,3,2020,3304557,roubo_bicicleta,0
24,3,2020,3304557,roubo_carga,54
24,3,2020,3304557,roubo_celular,226
24,3,2020,3304557,roubo_comercio,33
24,3,2020,3304557,roubo_conducao_saque,0
24,3,2020,3304557,roubo_cx_eletronico,1
24,3,2020,3304557,roubo_em_coletivo,73
24,3,2020,3304557,roubo_residencia,3
24,3,2020,3304557,roubo_rua,1042
24,3,2020,3304557,roubo_veiculo,317
24,3,2020,3304557,sequestro,0
24,3,2020,3304557,sequestro_relampago,1
24,3,2020,3304557,trafico_drogas,11
24,3,2021,3304557,aaapai,13
24,3,2021,3304557,ameaca,279
24,3,2021,3304557,apf,133
24,3,2021,3304557,apreensao_drogas,28
24,3,2021,3304557,apreensao_drogas_sem_autor,9
24,3,2021,3304557,cmba,1
24,3,2021,3304557,cmp,38
